time,pos,vel,vel_gps,accel
1686463391.4929051,-34.81651942633719,-1.6138009896583963e-05,0.006672576786562986,"[0, -2.082731755301633e-10, nan]"
1686463391.5055594,-34.81651942633719,-1.497300548500838e-05,0.006672576786562986,"[0, -2.082731755301633e-10, nan]"
1686463391.5174282,-34.81651942633719,0.7182071444747955,0.006672576786562986,"[0, -2.082731755301633e-10, nan]"
1686463391.5285943,-34.81651942633719,0.7956222636670569,0.006672576786562986,"[0, -2.082731755301633e-10, nan]"
1686463391.540329,-34.81651942633719,1.082460292386776,0.006672576786562986,"[0, -2.082731755301633e-10, nan]"
1686463391.550484,-34.81651942633719,1.3486127774034973,0.006672576786562986,"[0, -2.082731755301633e-10, nan]"
1686463391.5618603,-34.81651942633719,1.635667108186844,0.006672576786562986,"[0, -2.082731755301633e-10, nan]"
1686463391.572205,-34.81651942633719,1.931713580204522,0.006672576786562986,"[0, -2.082731755301633e-10, nan]"
1686463391.5839565,-34.81651942633719,2.231129238290093,0.006672576786562986,"[0, -2.082731755301633e-10, nan]"
1686463391.594034,-34.85339941488083,2.531707278465252,0.7421647776472959,"[0, -6.45816806329181e-10, nan]"
1686463391.6032495,-34.85339941488083,2.832596214965333,0.7421647776472959,"[0, -6.45816806329181e-10, nan]"
1686463391.613062,-34.85339941488083,3.1334681080458875,0.7421647776472959,"[0, -6.45816806329181e-10, nan]"
1686463391.6213784,-34.85339941488083,3.434196762907878,0.7421647776472959,"[0, -6.45816806329181e-10, nan]"
1686463391.630534,-34.85339941488083,3.734733762779481,0.7421647776472959,"[0, -6.45816806329181e-10, nan]"
1686463391.639227,-34.85339941488083,4.035060734065265,0.7421647776472959,"[0, -6.45816806329181e-10, nan]"
1686463391.6480823,-34.85339941488083,4.335170965216554,0.7421647776472959,"[0, -6.45816806329181e-10, nan]"
1686463391.658107,-34.85339941488083,4.635062327213609,0.7421647776472959,"[0, -6.45816806329181e-10, nan]"
1686463391.6673756,-34.85339941488083,4.934734544882895,0.7421647776472959,"[0, -6.45816806329181e-10, nan]"
1686463391.677094,-34.85339941488083,5.234188142843658,0.7421647776472959,"[0, -6.45816806329181e-10, nan]"
1686463391.6889415,-34.973159276282956,5.533424035740322,1.5713443840264796,"[0, 1.0054115218517649e-09, nan]"
1686463391.6992922,-34.973159276282956,5.8324433661395245,1.5713443840264796,"[0, 1.0054115218517649e-09, nan]"
1686463391.7103431,-34.973159276282956,6.131247437486556,1.5713443840264796,"[0, 1.0054115218517649e-09, nan]"
1686463391.722188,-34.973159276282956,6.429837683402932,1.5713443840264796,"[0, 1.0054115218517649e-09, nan]"
1686463391.7331924,-34.973159276282956,6.728215650833473,1.5713443840264796,"[0, 1.0054115218517649e-09, nan]"
1686463391.7444556,-34.973159276282956,7.026382988427371,1.5713443840264796,"[0, 1.0054115218517649e-09, nan]"
