time,lat,lon,alt,yaw,pitch,roll,vx,vy,vz,ax,ay,az,yaw_rate,pitch_rate,roll_rate,uncorrect_yaw
2025-12-24 16:53:16.281570,-90.0,26.655265518783963,-6356748.77674518,2.249380361151079,0.6206800759575782,-0.2670129607840958,-0.002,0.0025,0.0001,0.0281,0.1236,9.8081,-0.00057,0.0006,-9e-05,2.249380361151079
2025-12-24 16:53:16.372286,-90.0,26.655265518783963,-6356748.77674518,2.249380361151079,0.6206800759575782,-0.2670129607840958,-0.002,0.0025,0.0001,0.0387,0.1128,9.8088,0.00119,-0.00162,4e-05,2.249380361151079
2025-12-24 16:53:16.472643,-90.0,26.655263271610426,-6356748.77674518,2.249384801174979,0.6197041313537911,-0.2670997260236277,-0.0009,0.003,0.0,0.0224,0.1238,9.8141,0.00063,-0.0005,7e-05,2.249384801174979
2025-12-24 16:53:16.574152,-90.0,26.655263271610426,-6356748.77674518,2.249384801174979,0.6197041313537911,-0.2670997260236277,-0.0009,0.003,0.0,0.0299,0.1259,9.8193,0.0002,-0.00049,-0.00054,2.249384801174979
2025-12-24 16:53:16.673001,-90.0,26.655263271610426,-6356748.77674518,2.249384801174979,0.6197041313537911,-0.2670997260236277,-0.0009,0.003,0.0,0.0286,0.1307,9.8082,0.00016,0.00039,-6e-05,2.249384801174979
2025-12-24 16:53:16.773517,-90.0,26.655249717469324,-6356748.776445179,2.2493892396874227,0.621672151880743,-0.26590550730210993,-0.0009,0.0027,-0.0002,0.0326,0.1214,9.8019,0.00038,-0.00145,9e-05,2.2493892396874227
2025-12-24 16:53:16.872160,-90.0,26.655249717469324,-6356748.776445179,2.2493892396874227,0.621672151880743,-0.26590550730210993,-0.0009,0.0027,-0.0002,0.0253,0.1259,9.8069,4e-05,-0.0007,-0.00043,2.2493892396874227
2025-12-24 16:53:16.973384,-90.0,26.655249717469324,-6356748.776445179,2.2493892396874227,0.621672151880743,-0.26590550730210993,-0.0009,0.0027,-0.0002,0.0329,0.1218,9.808,-0.00021,0.00035,-0.00043,2.2493892396874227
2025-12-24 16:53:17.071970,-90.0,26.65522940402982,-6356748.776545179,2.249355416398082,0.6264009276362663,-0.2654141964224235,-0.0006,0.0031,-0.0002,0.0266,0.1225,9.8062,0.0005,-0.00072,-0.00029,2.249355416398082
2025-12-24 16:53:17.174075,-90.0,26.65522940402982,-6356748.776545179,2.249355416398082,0.6264009276362663,-0.2654141964224235,-0.0006,0.0031,-0.0002,0.0281,0.1239,9.8068,0.00035,-0.00055,0.00012,2.249355416398082
2025-12-24 16:53:17.276168,-90.0,26.65522940402982,-6356748.776545179,2.249355416398082,0.6264009276362663,-0.2654141964224235,-0.0006,0.0031,-0.0002,0.0321,0.1307,9.8084,8e-05,-0.00094,-0.00041,2.249355416398082
2025-12-24 16:53:17.373951,-90.0,26.65521811483628,-6356748.7768451795,2.2493316352482715,0.627779366999582,-0.26881363802918945,-0.0004,0.0027,0.0002,0.0371,0.1214,9.8068,0.00054,-0.00131,-0.00062,2.2493316352482715
2025-12-24 16:53:17.472469,-90.0,26.65521811483628,-6356748.7768451795,2.2493316352482715,0.627779366999582,-0.26881363802918945,-0.0004,0.0027,0.0002,0.0213,0.1281,9.805,-0.00025,0.00063,7e-05,2.2493316352482715
2025-12-24 16:53:17.572551,-90.0,26.65522927965291,-6356748.776545179,2.2494443199595153,0.6275666935035041,-0.2684355841445949,-0.0011,0.0028,-0.0005,0.0277,0.1261,9.8073,0.00016,-0.00042,-8e-05,2.2494443199595153
2025-12-24 16:53:17.671744,-90.0,26.65522927965291,-6356748.776545179,2.2494443199595153,0.6275666935035041,-0.2684355841445949,-0.0011,0.0028,-0.0005,0.0339,0.1226,9.8144,1e-05,-0.0002,0.00024,2.2494443199595153
2025-12-24 16:53:17.773530,-90.0,26.65522927965291,-6356748.776545179,2.2494443199595153,0.6275666935035041,-0.2684355841445949,-0.0011,0.0028,-0.0005,0.0212,0.1212,9.815,-0.00021,0.00061,0.0004,2.2494443199595153
2025-12-24 16:53:17.872575,-90.0,26.65524281600401,-6356748.776645179,2.2494651655960354,0.6301433171371703,-0.27038377658290363,-0.0012,0.0028,-0.0005,0.0283,0.1196,9.8036,0.0001,0.00016,2e-05,2.2494651655960354
2025-12-24 16:53:17.972567,-90.0,26.65524281600401,-6356748.776645179,2.2494651655960354,0.6301433171371703,-0.27038377658290363,-0.0012,0.0028,-0.0005,0.0189,0.1196,9.8107,-0.00031,0.00046,-0.00028,2.2494651655960354
2025-12-24 16:53:18.075520,-90.0,26.65524281600401,-6356748.776645179,2.2494651655960354,0.6301433171371703,-0.27038377658290363,-0.0012,0.0028,-0.0005,0.0305,0.1258,9.808,0.00059,-0.00029,-2e-05,2.2494651655960354
2025-12-24 16:53:18.172551,-90.0,26.655236056713573,-6356748.777045179,2.249496015180945,0.6309932910295767,-0.2743041092183438,-0.0009,0.0028,-0.0,0.0207,0.1278,9.8098,6e-05,0.00036,-0.0001,2.249496015180945
2025-12-24 16:53:18.273156,-90.0,26.655236056713573,-6356748.777045179,2.249496015180945,0.6309932910295767,-0.2743041092183438,-0.0009,0.0028,-0.0,0.0214,0.124,9.8079,0.00023,-0.00017,-0.00013,2.249496015180945
2025-12-24 16:53:18.372588,-90.0,26.65527208253584,-6356748.77734518,2.2496534899622684,0.6274027043862304,-0.27618713334882067,-0.0005,0.0026,-0.0001,0.0265,0.1207,9.8065,0.00095,-0.00195,-0.00045,2.2496534899622684
2025-12-24 16:53:18.475074,-90.0,26.65527208253584,-6356748.77734518,2.2496534899622684,0.6274027043862304,-0.27618713334882067,-0.0005,0.0026,-0.0001,0.0305,0.1231,9.8089,2e-05,-0.00045,-9e-05,2.2496534899622684
2025-12-24 16:53:18.573604,-90.0,26.65527208253584,-6356748.77734518,2.2496534899622684,0.6274027043862304,-0.27618713334882067,-0.0005,0.0026,-0.0001,0.0269,0.1196,9.8082,-4e-05,-0.00044,-0.00028,2.2496534899622684
2025-12-24 16:53:18.671813,-90.0,26.65527208253584,-6356748.77734518,2.2496534899622684,0.6274027043862304,-0.27618713334882067,-0.0005,0.0026,-0.0001,0.0294,0.1178,9.8093,-0.00034,-2e-05,0.00011,2.2496534899622684
2025-12-24 16:53:18.802886,-90.0,26.655272029206312,-6356748.778045179,2.24976020405475,0.6264614620452854,-0.27933075675243374,-0.0011,0.0026,0.0001,0.0232,0.1264,9.8101,0.00024,-0.00059,-0.00014,2.24976020405475
2025-12-24 16:53:18.872709,-90.0,26.655272029206312,-6356748.778045179,2.24976020405475,0.6264614620452854,-0.27933075675243374,-0.0011,0.0026,0.0001,0.0331,0.1212,9.8031,0.00035,0.0002,-0.00029,2.24976020405475
2025-12-24 16:53:18.972278,-90.0,26.65528108897897,-6356748.77834518,2.2497718332050898,0.6241310510758771,-0.28057432904424673,-0.0002,0.0029,-0.0003,0.0197,0.1278,9.8046,0.00047,-0.00114,-0.00049,2.2497718332050898
2025-12-24 16:53:19.071280,-90.0,26.65528108897897,-6356748.77834518,2.2497718332050898,0.6241310510758771,-0.28057432904424673,-0.0002,0.0029,-0.0003,0.0348,0.1181,9.8069,0.00047,-0.00142,-0.00043,2.2497718332050898
2025-12-24 16:53:19.172784,-90.0,26.65528108897897,-6356748.77834518,2.2497718332050898,0.6241310510758771,-0.28057432904424673,-0.0002,0.0029,-0.0003,0.0328,0.1228,9.8086,0.00028,0.0011,0.00044,2.2497718332050898
2025-12-24 16:53:19.271645,-90.0,26.655296819125073,-6356748.779145179,2.2498731190902124,0.6261532535748527,-0.28141123957659386,-0.0003,0.0028,0.0003,0.0304,0.1309,9.8049,-1e-05,-0.00033,-0.00035,2.2498731190902124
2025-12-24 16:53:19.397317,-90.0,26.655296819125073,-6356748.779145179,2.2498731190902124,0.6261532535748527,-0.28141123957659386,-0.0003,0.0028,0.0003,0.0269,0.1261,9.7998,0.0001,0.00089,-0.00013,2.2498731190902124
2025-12-24 16:53:19.486079,-90.0,26.655296801343695,-6356748.779245179,2.249908866902113,0.6264627529494691,-0.28101790144808353,-0.0003,0.0028,-0.0001,0.0269,0.1253,9.8105,-0.00051,0.00066,-0.00012,2.249908866902113
2025-12-24 16:53:19.572922,-90.0,26.655296801343695,-6356748.779245179,2.249908866902113,0.6264627529494691,-0.28101790144808353,-0.0003,0.0028,-0.0001,0.0205,0.1214,9.8057,0.00033,-0.00038,-0.00049,2.249908866902113
2025-12-24 16:53:19.675389,-90.0,26.655296801343695,-6356748.779245179,2.249908866902113,0.6264627529494691,-0.28101790144808353,-0.0003,0.0028,-0.0001,0.0306,0.1223,9.8108,0.0006,-0.00082,0.00069,2.249908866902113
2025-12-24 16:53:19.772359,-90.0,26.655281035644133,-6356748.779345179,2.2498953694178043,0.6257052722775545,-0.2804876315275787,-0.0011,0.003,0.0001,0.029,0.117,9.8041,-0.00026,-0.00049,0.00018,2.2498953694178043
2025-12-24 16:53:19.874480,-90.0,26.655281035644133,-6356748.779345179,2.2498953694178043,0.6257052722775545,-0.2804876315275787,-0.0011,0.003,0.0001,0.031,0.1164,9.8086,-0.00063,0.0003,-2e-05,2.2498953694178043
2025-12-24 16:53:19.971588,-90.0,26.655290077637076,-6356748.779645179,2.249871285517658,0.6278120039152488,-0.2803636843441428,-0.0007,0.0024,-0.0003,0.0297,0.1234,9.8065,0.00035,-0.0004,-0.00036,2.249871285517658
2025-12-24 16:53:20.071837,-90.0,26.655290077637076,-6356748.779645179,2.249871285517658,0.6278120039152488,-0.2803636843441428,-0.0007,0.0024,-0.0003,0.0268,0.1194,9.808,0.00034,-0.00013,-0.00038,2.249871285517658
2025-12-24 16:53:20.175399,-90.0,26.655290077637076,-6356748.779645179,2.249871285517658,0.6278120039152488,-0.2803636843441428,-0.0007,0.0024,-0.0003,0.0229,0.1217,9.8176,0.00032,0.00102,6e-05,2.249871285517658
2025-12-24 16:53:20.275119,-90.0,26.65527882403527,-6356748.77944518,2.2498266281277717,0.6284791478793454,-0.2806690484643833,-0.0009,0.0021,-0.0004,0.0294,0.1139,9.8095,-0.00024,-0.00048,-7e-05,2.2498266281277717
2025-12-24 16:53:20.379060,-90.0,26.65527882403527,-6356748.77944518,2.2498266281277717,0.6284791478793454,-0.2806690484643833,-0.0009,0.0021,-0.0004,0.0296,0.1239,9.8163,7e-05,-0.00023,-0.00037,2.2498266281277717
2025-12-24 16:53:20.481207,-90.0,26.65527882403527,-6356748.77944518,2.2498266281277717,0.6284791478793454,-0.2806690484643833,-0.0009,0.0021,-0.0004,0.0255,0.1223,9.8066,-0.00048,0.00053,4e-05,2.2498266281277717
2025-12-24 16:53:20.582448,-90.0,26.65524946865983,-6356748.779345179,2.2497729872276766,0.630343367642078,-0.28001893529971317,-0.0012,0.0019,-0.0005,0.0326,0.1216,9.8067,-0.00038,-0.00022,-0.00044,2.2497729872276766
2025-12-24 16:53:20.672293,-90.0,26.65524946865983,-6356748.779345179,2.2497729872276766,0.630343367642078,-0.28001893529971317,-0.0012,0.0019,-0.0005,0.0349,0.1349,9.8024,-0.00029,0.00018,3e-05,2.2497729872276766
2025-12-24 16:53:20.788672,-90.0,26.65524946865983,-6356748.779345179,2.2497729872276766,0.630343367642078,-0.28001893529971317,-0.0012,0.0019,-0.0005,0.0256,0.1286,9.8046,9e-05,-9e-05,-0.00034,2.2497729872276766
2025-12-24 16:53:20.872064,-90.0,26.655233738463345,-6356748.778845179,2.2496717989128707,0.6318673507548039,-0.2786296113365594,-0.0012,0.0026,-0.0007,0.0229,0.1117,9.8101,-0.0001,-5e-05,0.00011,2.2496717989128707
2025-12-24 16:53:20.975579,-90.0,26.655233738463345,-6356748.778845179,2.2496717989128707,0.6318673507548039,-0.2786296113365594,-0.0012,0.0026,-0.0007,0.0425,0.1352,9.802,-0.00052,0.00025,-0.00027,2.2496717989128707
2025-12-24 16:53:21.102095,-90.0,26.655249557520204,-6356748.778645179,2.2496629484226003,0.6332978677479044,-0.2789596463957699,-0.0006,0.0027,-0.0005,0.0352,0.1259,9.8174,0.00027,-0.00017,-0.00029,2.2496629484226003
2025-12-24 16:53:21.173854,-90.0,26.655249557520204,-6356748.778645179,2.2496629484226003,0.6332978677479044,-0.2789596463957699,-0.0006,0.0027,-0.0005,0.0111,0.1163,9.8095,5e-05,0.0002,0.00026,2.2496629484226003
2025-12-24 16:53:21.272354,-90.0,26.655249557520204,-6356748.778645179,2.2496629484226003,0.6332978677479044,-0.2789596463957699,-0.0006,0.0027,-0.0005,0.0224,0.1285,9.81,0.00074,-0.00026,-0.00064,2.2496629484226003
2025-12-24 16:53:21.372173,-90.0,26.655236021174705,-6356748.778745179,2.2496516396317277,0.6347422228789559,-0.28144198641794754,0.0011,0.0026,-0.0001,0.0346,0.1111,9.8092,-0.00015,-0.00017,-6e-05,2.2496516396317277
2025-12-24 16:53:21.474406,-90.0,26.655236021174705,-6356748.778745179,2.2496516396317277,0.6347422228789559,-0.28144198641794754,0.0011,0.0026,-0.0001,0.0321,0.1255,9.8089,-0.0,8e-05,-0.00032,2.2496516396317277
2025-12-24 16:53:21.574188,-90.0,26.655236021174705,-6356748.778745179,2.2496516396317277,0.6347422228789559,-0.28144198641794754,0.0011,0.0026,-0.0001,0.0152,0.1245,9.8067,8e-05,-0.0001,5e-05,2.2496516396317277
2025-12-24 16:53:21.672040,-90.0,26.655242762691724,-6356748.7790451795,2.2495916759409904,0.6320179003687189,-0.28234860090250613,-0.0013,0.0016,-0.0003,0.0294,0.1212,9.8134,-0.00042,-0.00026,9e-05,2.2495916759409904
2025-12-24 16:53:21.775271,-90.0,26.655242762691724,-6356748.7790451795,2.2495916759409904,0.6320179003687189,-0.28234860090250613,-0.0013,0.0016,-0.0003,0.0227,0.1256,9.8082,2e-05,-0.00155,-0.00071,2.2495916759409904
2025-12-24 16:53:21.872906,-90.0,26.65524053329023,-6356748.779145179,2.2495453362447044,0.6328692796291971,-0.2838352475405675,-0.0016,0.0021,0.0,0.0287,0.1352,9.8122,-0.00021,-0.0008,-0.0001,2.2495453362447044
2025-12-24 16:53:21.979456,-90.0,26.65524053329023,-6356748.779145179,2.2495453362447044,0.6328692796291971,-0.2838352475405675,-0.0016,0.0021,0.0,0.0238,0.1271,9.8041,-0.00023,0.0003,0.00034,2.2495453362447044
