Sample time,accel,throttle,speed,separation
5.45,-0.519167439225628,0,3.5214,4.00410000000005
5.55,-0.344316489955406,0,3.2403,3.70759999999996
5.5,-0.342649388501231,0.251247718474459,3.2403,3.70759999999996
5.6,-0.341967055848175,0.358669262714272,2.9205,3.45260000000002
5.65,-0.341312696682392,0,2.9205,3.45260000000002
5.4,-0.315725665839591,0.332737159800114,3.5214,4.00410000000005
5.44,-0.269700940542109,0,3.5214,4.00410000000005
6.2,-0.267613347795572,0.114547122796117,2.0756,1.96899999999999
5.43,-0.263371439778487,0,3.5214,4.00410000000005
5.42,-0.261103563882566,0,3.5214,4.00410000000005
6.35,-0.254947290858281,0,1.6669,1.79450000000003
5.41,-0.252462154061042,0,3.5214,4.00410000000005
5.64,-0.23306142498219,0,2.9205,3.45260000000002
5.51,-0.231428840086995,0,3.2403,3.70759999999996
6.1,-0.230824951525183,0.177545303409656,2.4256,2.19159999999999
5.61,-0.230230398742205,0,2.9205,3.45260000000002
5.53,-0.228659532448189,0,3.2403,3.70759999999996
5.52,-0.228515054695434,0,3.2403,3.70759999999996
5.63,-0.228500000715479,0,2.9205,3.45260000000002
6.25,-0.227673782733779,0,2.0756,1.96899999999999
5.35,-0.226953232275655,0,3.8627,4.34649999999999
5.54,-0.226820325084695,0,3.2403,3.70759999999996
5.62,-0.225959101647519,0,2.9205,3.45260000000002
5.75,-0.219073271357276,0,2.7497,3.22070000000002
6.15,-0.216906084492959,0,2.4256,2.19159999999999
5.3,-0.209711153258192,0.28220653736038,3.8627,4.34649999999999
6.3,-0.208881615671251,0.231327633444268,1.6669,1.79450000000003
6.4,-0.206532071110353,0.2040995832853,1.4013,1.66919999999999
11.25,-0.196017780456508,0,0.3082,0.625400000000013
7.35,-0.180600894099342,0,0.445,0.97380000000004
7.3,-0.177127152907776,0.0605138682484039,0.445,0.97380000000004
5.7,-0.173074648408622,0.476629553753216,2.7497,3.22070000000002
7.2,-0.173006667763331,0.0697308744508384,0.8258,1.02440000000001
7.4,-0.170352311794086,0.22395470056135,0.1059,0.975799999999992
6.45,-0.168263265736442,0,1.4013,1.66919999999999
9.3,-0.165243085781087,0.0812643569419416,0.2475,0.796299999999974
10.35,-0.164118760636954,0,0.0897,0.717600000000004
7.25,-0.162044251792054,0,0.8258,1.02440000000001
11.2,-0.160301643979498,0.0677974634373123,0.3082,0.625400000000013
10.3,-0.157548381230596,0.0365022951183162,0.0897,0.717600000000004
6.21,-0.156100482335627,0,2.0756,1.96899999999999
7.45,-0.154519986441503,0,0.1059,0.975799999999992
6.24,-0.153566792894952,0,2.0756,1.96899999999999
12.2,-0.152483549067023,0.117896700825418,0.2681,0.590599999999995
6.22,-0.151450784899556,0,2.0756,1.96899999999999
9.35,-0.151261928491524,0,0.2475,0.796299999999974
6.23,-0.149290355254581,0,2.0756,1.96899999999999
5.2,-0.147372118688078,0.372424110290846,4.0959,4.73399999999998
5.31,-0.145638808280512,0,3.8627,4.34649999999999
5.34,-0.143826206730239,0,3.8627,4.34649999999999
5.33,-0.143206267091649,0,3.8627,4.34649999999999
5.32,-0.14316287862111,0,3.8627,4.34649999999999
5.74,-0.142954633078509,0,2.7497,3.22070000000002
5.73,-0.141757500717309,0,2.7497,3.22070000000002
6.34,-0.139496916620621,0,1.6669,1.79450000000003
5.72,-0.139095652930304,0,2.7497,3.22070000000002
13.25,-0.137193555218344,0,0.2857,0.584000000000003
5.71,-0.137047256365619,0,2.7497,3.22070000000002
11.35,-0.136178701298701,0,0.0439,0.622799999999984
12.25,-0.134209211423944,0,0.2681,0.590599999999995
6.14,-0.13395993494359,0,2.4256,2.19159999999999
6.55,-0.132615636784958,0,1.1426,1.58509999999995
6.13,-0.131905542070992,0,2.4256,2.19159999999999
6.12,-0.131757824021056,0,2.4256,2.19159999999999
6.33,-0.131593104023226,0,1.6669,1.79450000000003
6.31,-0.131567248320499,0,1.6669,1.79450000000003
6.11,-0.131488141872303,0,2.4256,2.19159999999999
13.2,-0.131236230261573,0.11274984799318,0.2857,0.584000000000003
6.32,-0.131199704630532,0,1.6669,1.79450000000003
5.25,-0.1203985133706,0,4.0959,4.73399999999998
6.41,-0.118376776028113,0,1.4013,1.66919999999999
6.42,-0.114146859383037,0,1.4013,1.66919999999999
6.43,-0.112780356339096,0,1.4013,1.66919999999999
6.44,-0.112475984653285,0,1.4013,1.66919999999999
13.35,-0.112337406728343,0,0.0435,0.581600000000037
7.32,-0.110826069891873,0,0.445,0.97380000000004
7.33,-0.109425421699954,0,0.445,0.97380000000004
11.24,-0.109096972104341,0,0.3082,0.625400000000013
7.34,-0.108964143226031,0,0.445,0.97380000000004
7.31,-0.108311963765605,0,0.445,0.97380000000004
11.3,-0.105155101806188,0.00516451205254884,0.0439,0.622799999999984
13.3,-0.103986466472041,0.0144322634368602,0.0435,0.581600000000037
11.21,-0.103823417278377,0,0.3082,0.625400000000013
11.23,-0.102801568627451,0,0.3082,0.625400000000013
11.22,-0.102442673866442,0,0.3082,0.625400000000013
7.24,-0.102379358475323,0,0.8258,1.02440000000001
7.23,-0.101223071117106,0,0.8258,1.02440000000001
7.22,-0.101002726541023,0,0.8258,1.02440000000001
7.43,-0.100843916941887,0,0.1059,0.975799999999992
7.21,-0.100678788406073,0,0.8258,1.02440000000001
7.42,-0.100543936026874,0,0.1059,0.975799999999992
7.41,-0.0991848883489763,0,0.1059,0.975799999999992
9.33,-0.098397229621684,0,0.2475,0.796299999999974
7.44,-0.0983066952080714,0,0.1059,0.975799999999992
9.34,-0.0982536232948804,0,0.2475,0.796299999999974
10.2,-0.0972678690730395,0.0510554385847902,0.4073,0.728999999999985
9.32,-0.0963245611018621,0,0.2475,0.796299999999974
9.31,-0.0953702949823822,0,0.2475,0.796299999999974
9.4,-0.0950255172564652,0.132471374245572,0.03,0.81310000000002
10.31,-0.0947143519681809,0,0.0897,0.717600000000004
10.34,-0.0943476812305539,0,0.0897,0.717600000000004
10.25,-0.09419761896036,0,0.4073,0.728999999999985
10.33,-0.0937446789476981,0,0.0897,0.717600000000004
10.32,-0.0933552931546555,0,0.0897,0.717600000000004
5.23,-0.0890713558138681,0,4.0959,4.73399999999998
5.24,-0.088817737716281,0,4.0959,4.73399999999998
5.21,-0.0872878518409598,0,4.0959,4.73399999999998
5.22,-0.08652306857595,0,4.0959,4.73399999999998
12.23,-0.0858247900314336,0,0.2681,0.590599999999995
12.22,-0.0853884829904551,0,0.2681,0.590599999999995
12.21,-0.0850873495378901,0,0.2681,0.590599999999995
13.24,-0.0850141609475214,0,0.2857,0.584000000000003
12.24,-0.0841783979608267,0,0.2681,0.590599999999995
13.22,-0.0828729158853043,0,0.2857,0.584000000000003
6.6,-0.0828045815411365,0.379752653044918,0.9339,1.5351
6.5,-0.0827965705852863,0.220319954284234,1.1426,1.58509999999995
13.23,-0.0819919703902061,0,0.2857,0.584000000000003
8.55,-0.0810907213273554,0,0.2399,0.970100000000002
12.3,-0.0810463686038717,0.0343002817352595,0.0398,0.589499999999987
13.21,-0.0800386056602556,0,0.2857,0.584000000000003
6.65,-0.0796121257275903,0,0.9339,1.5351
12.35,-0.0739590460919615,0,0.0398,0.589499999999987
11.34,-0.0682985981886513,0,0.0439,0.622799999999984
11.32,-0.0682268866067703,0,0.0439,0.622799999999984
11.33,-0.0680878032829175,0,0.0439,0.622799999999984
11.31,-0.0680876360042724,0,0.0439,0.622799999999984
8.4,-0.0679955813926575,0.215383502232488,0.4327,0.959600000000023
9.45,-0.0658229350357738,0,0.03,0.81310000000002
13.31,-0.0647228309170434,0,0.0435,0.581600000000037
13.34,-0.0640060454202927,0,0.0435,0.581600000000037
13.33,-0.0638432927554303,0,0.0435,0.581600000000037
13.32,-0.0638306965287919,0,0.0435,0.581600000000037
10.24,-0.0630366329119023,0,0.4073,0.728999999999985
10.23,-0.0621401231012163,0,0.4073,0.728999999999985
6.54,-0.0617077758296628,0,1.1426,1.58509999999995
6.52,-0.0599825892428228,0,1.1426,1.58509999999995
6.53,-0.0599753284235801,0,1.1426,1.58509999999995
6.51,-0.059787623386384,0,1.1426,1.58509999999995
10.22,-0.0592853149223538,0,0.4073,0.728999999999985
10.21,-0.058835900896891,0,0.4073,0.728999999999985
12.1,-0.0554325477971146,0.0781983797278251,0.5984,0.631000000000029
8.5,-0.05236415959552,0.293858405217299,0.2399,0.970100000000002
12.34,-0.0510561760637952,0,0.0398,0.589499999999987
12.33,-0.050844664653184,0,0.0398,0.589499999999987
6.61,-0.0507993918589934,0,0.9339,1.5351
6.62,-0.0502492940539616,0,0.9339,1.5351
6.63,-0.0502167486142871,0,0.9339,1.5351
6.64,-0.0500782190978325,0,0.9339,1.5351
12.31,-0.0492886965894345,0,0.0398,0.589499999999987
12.32,-0.0492199624358124,0,0.0398,0.589499999999987
11.1,-0.0488678426134441,0.0232281507937715,0.699,0.672599999999989
6,-0.0487697936622166,0.177306021386165,2.7235,2.44959999999998
9.42,-0.0478301759772494,0,0.03,0.81310000000002
9.44,-0.0475151838394613,0,0.03,0.81310000000002
11.15,-0.0474412332876384,0,0.699,0.672599999999989
9.41,-0.0468624318647296,0,0.03,0.81310000000002
9.43,-0.0466947396438498,0,0.03,0.81310000000002
8.6,-0.0462884640518026,0.468767704624125,0.1358,1.0052
12.15,-0.0447696083938849,0,0.5984,0.631000000000029
8.45,-0.0443042370826895,0,0.4327,0.959600000000023
6.05,-0.0431873028348023,0,2.7235,2.44959999999998
8.52,-0.0392096704234476,0,0.2399,0.970100000000002
8.53,-0.0382633482649612,0,0.2399,0.970100000000002
8.54,-0.0382110239875632,0,0.2399,0.970100000000002
