Sample time,accel,throttle,speed,separation
5.25,-0.0844723026380257,0,0.5683,3.94920000000002
5.35,-0.0808264223511369,0,0.4816,3.90390000000002
4.4,-0.0798002290656557,,0.6022,4.2842
31.3,-0.0785673193634614,,0.1638,3.5949
5.3,-0.0763630431304034,,0.4816,3.90390000000002
5.2,-0.074620863171035,,0.5683,3.94920000000002
5.55,-0.0722555508269274,0,0.3406,3.86969999999997
5.4,-0.0721171384958408,,0.4014,3.87809999999996
4.25,-0.0717371347321325,0,0.769,4.39480000000003
4.2,-0.0703227434618016,,0.769,4.39480000000003
4.5,-0.0696961596880184,,0.5382,4.25580000000002
6.4,-0.0692753597235654,,0.1765,3.7364
5.45,-0.0677185675317119,0,0.4014,3.87809999999996
4.3,-0.0650589778757479,,0.6828,4.32980000000003
4.45,-0.0637429815027812,0,0.6022,4.2842
5.5,-0.0635990341446139,,0.3406,3.86969999999997
4.52,-0.062347393554261,0,0.5382,4.25580000000002
4.55,-0.0620119470426934,0.00167713845516224,0.5382,4.25580000000002
31.35,-0.061662838570823,0,0.1638,3.5949
9.4,-0.0615765360161463,,0.1337,3.62360000000001
5.54,-0.061433388869349,0,0.3406,3.86969999999997
4.53,-0.0613467199608749,0.0748142108600765,0.5382,4.25580000000002
9.3,-0.0613021116263574,,0.186,3.62090000000001
42.45,-0.0611008675505767,0,0.1544,3.59219999999999
4.51,-0.0608276489049523,0.218694491239597,0.5382,4.25580000000002
38.4,-0.0605948078285995,,0.1247,3.60180000000003
9.35,-0.0600378213049015,0,0.186,3.62090000000001
31.45,-0.0600046786040854,0,0.1117,3.59980000000002
54.4,-0.0595874423491815,,0.1275,3.61070000000001
4.35,-0.0593735997858571,0,0.6828,4.32980000000003
4.21,-0.0586907126662901,0,0.769,4.39480000000003
27.35,-0.0583536334527454,0,0.168,3.59530000000001
5.24,-0.0579597440093988,0,0.5683,3.94920000000002
4.54,-0.0578835314640831,0,0.5382,4.25580000000002
4.24,-0.0570913932018775,0,0.769,4.39480000000003
39.3,-0.0570005331781086,,0.1541,3.59440000000001
4.1,-0.0567239353180433,,0.8609,4.47489999999999
52.4,-0.0564613099511564,,0.1376,3.59910000000002
38.3,-0.0563601441504978,,0.1777,3.59819999999996
5.31,-0.0562196550258105,0,0.4816,3.90390000000002
31.4,-0.0557252535803174,,0.1117,3.59980000000002
5.23,-0.0551647899335143,0,0.5683,3.94920000000002
5.22,-0.0550646407078932,0,0.5683,3.94920000000002
4.41,-0.0549752415954259,0,0.6022,4.2842
4.23,-0.0546194469423122,0,0.769,4.39480000000003
7.5,-0.0545913216081821,,0.1743,3.68220000000002
5.21,-0.0545823024615553,0,0.5683,3.94920000000002
5.33,-0.0544530464678894,0,0.4816,3.90390000000002
5.32,-0.0543944016178635,0,0.4816,3.90390000000002
4.22,-0.0543343450951205,0,0.769,4.39480000000003
5.41,-0.0541943394049924,0,0.4014,3.87809999999996
5.34,-0.0540431602021755,0,0.4816,3.90390000000002
42.4,-0.0539049707155831,,0.1544,3.59219999999999
41.4,-0.0538649601748753,,0.1216,3.5942
38.35,-0.0532538105743552,0,0.1777,3.59819999999996
5.42,-0.0532510540404912,0,0.4014,3.87809999999996
4.65,-0.052811862632388,0.0389097547915647,0.5083,4.2398
41.25,-0.0527919622900392,0,0.233,3.6035
18.35,-0.0527779774936845,0,0.1608,3.60390000000001
18.3,-0.0526349368248273,,0.1608,3.60390000000001
48.4,-0.0525981367792421,,0.1067,3.6096
7.45,-0.0525948406889191,0,0.225,3.67349999999999
10.4,-0.0522191187781937,,0.1675,3.59990000000005
5.52,-0.0520999618362719,0,0.3406,3.86969999999997
5.44,-0.051936953167942,0,0.4014,3.87809999999996
5.43,-0.0518532899042886,0,0.4014,3.87809999999996
5.53,-0.051485464353781,0.04193952676398,0.3406,3.86969999999997
4.42,-0.0508036810103603,0,0.6022,4.2842
29.3,-0.0507635256164812,,0.1813,3.59810000000004
54.3,-0.0506194878011175,,0.1732,3.60699999999997
48.3,-0.0505382842043278,,0.1517,3.60379999999998
29.4,-0.0504966886161028,,0.1257,3.60140000000001
41.2,-0.0504324241759578,,0.233,3.6035
52.45,-0.0503803214471686,0,0.1376,3.59910000000002
29.35,-0.0502322794181692,0,0.1813,3.59810000000004
5.51,-0.0501152949962071,0.147550480947168,0.3406,3.86969999999997
7.4,-0.0500373353752764,,0.225,3.67349999999999
12.35,-0.0500177401380714,0,0.1749,3.60270000000003
