Sample time,accel,throttle,speed,separation
8.25,-0.0724554312728004,0,0.2466,3.49100000000004
5.94,-0.072278495815233,0,0.447,3.8073
22.4,-0.0710777799392341,,0.0617,3.48739999999998
14,-0.0710460965802863,0.125272581091185,0.29,3.49099999999999
8.2,-0.0709903971384878,,0.2466,3.49100000000004
18.05,-0.0707627407230746,0,0.3561,3.46039999999999
28.2,-0.070298235935333,0.041535854199711,0.263,3.39089999999999
16.35,-0.0700612682812967,0,0.2934,3.36150000000003
12.1,-0.0700328714617675,0.213822396326956,0.3662,3.39089999999999
34.25,-0.0697523183369751,0,0.1172,3.45829999999995
25.9,-0.0697481333665918,0.0809594853795483,0.4636,3.58289999999999
36.25,-0.0696400254459401,0,0.1895,3.49510000000004
20.05,-0.0695423869993686,0,0.3149,3.52769999999998
18,-0.0693849820282524,0.243281241044185,0.3561,3.46039999999999
20,-0.0690877946586599,0.0437523108827072,0.3149,3.52769999999998
16.3,-0.0689870799286544,,0.2934,3.36150000000003
32.55,-0.0689726051056457,0,0.0632,3.34179999999998
12.35,-0.0687120563675982,0,0.2221,3.33230000000003
6.15,-0.0686953869661548,0,0.298,3.73329999999999
34.2,-0.0686738473346001,,0.1172,3.45829999999995
14.25,-0.0685594761143923,0,0.1218,3.44979999999998
12.15,-0.068346978644598,0,0.3662,3.39089999999999
8.15,-0.0680323871427475,0,0.3119,3.51779999999997
14.2,-0.0674090748283721,,0.1218,3.44979999999998
24.15,-0.0671201218390458,0,0.235,3.57190000000003
5.91,-0.0670703911533046,0,0.447,3.8073
22.24,-0.0670451848696793,0,0.2149,3.50110000000001
24.2,-0.066953354661328,,0.1626,3.55349999999999
5.92,-0.0669453573234436,0,0.447,3.8073
22.21,-0.0669046808259238,0,0.2149,3.50110000000001
12.45,-0.0668606316309222,0,0.1472,3.32370000000003
20.45,-0.0665845552720493,0,0.1097,3.45950000000005
36.13,-0.0664426734331678,0,0.2678,3.51669999999996
5.93,-0.0664390505103899,0,0.447,3.8073
7.95,-0.0663127965348526,0,0.4601,3.59730000000002
6,-0.0659369575954528,,0.3666,3.76600000000002
34.1,-0.0656465298580375,,0.1876,3.47309999999999
26.45,-0.0648992089249851,0,0.2892,3.4006
22.23,-0.0647768957528957,0,0.2149,3.50110000000001
15.95,-0.0647705274971445,0,0.5016,3.52629999999999
32.45,-0.0647052010660611,0,0.134,3.33440000000002
18.25,-0.0645671528155949,0,0.2386,3.39850000000001
28.25,-0.0645151766067919,0,0.263,3.39089999999999
8.24,-0.0645083002887573,0,0.2466,3.49100000000004
7.93,-0.0645022700180356,0,0.4601,3.59730000000002
24.25,-0.0644893836221543,0,0.1626,3.55349999999999
16.51,-0.0642781256797893,0,0.1676,3.3399
7.94,-0.0642522616727549,0,0.4601,3.59730000000002
4.14,-0.064115622479728,0,0.5815,4.46569999999997
16.52,-0.0640275990451024,0,0.1676,3.3399
22.22,-0.0639720736621433,0,0.2149,3.50110000000001
16.53,-0.0637759226513719,0,0.1676,3.3399
16.15,-0.0637755296502787,0,0.3996,3.43020000000001
16.54,-0.0634340832134304,0,0.1676,3.3399
10,-0.0634134763284191,0.0804697251184327,0.3711,3.52790000000004
7.92,-0.0632602454239587,0,0.4601,3.59730000000002
36.12,-0.0631933500098297,0,0.2678,3.51669999999996
34,-0.0630748928501344,,0.2701,3.49589999999995
22.31,-0.062975438709734,0,0.1293,3.48719999999997
20.2,-0.0628748725804289,,0.1992,3.47699999999998
18.15,-0.0627130852032837,0,0.3039,3.42579999999998
26.4,-0.0626425369286796,0.178385788418149,0.2892,3.4006
12.2,-0.062546707178407,0.18683927538629,0.2942,3.35639999999995
16.65,-0.0623717699711151,0,0.1155,3.35310000000004
28.1,-0.0622999702402938,0.0471259273028863,0.3285,3.41969999999998
36,-0.062229060714246,0.0170674943400848,0.3567,3.54900000000003
32.1,-0.0621970222072755,0.211164315416468,0.356,3.399
26,-0.0618912583186361,0.115547236893898,0.4134,3.53770000000003
5.83,-0.0618904712793786,0,0.5357,3.85629999999998
15.8,-0.0618597897214138,0.0434259664772733,0.5715,3.58009999999996
34.13,-0.0618216653594725,0,0.1876,3.47309999999999
34.14,-0.061816805921035,0,0.1876,3.47309999999999
36.11,-0.061792153150645,0,0.2678,3.51669999999996
14.35,-0.0615756704414007,0,0.0572,3.44449999999995
8,-0.0613781929380158,0.0389313767189816,0.3943,3.55420000000004
7.84,-0.0612406773156009,0,0.5446,3.64710000000002
7.91,-0.0610251281477336,0,0.4601,3.59730000000002
14.15,-0.0606085521647487,0,0.2017,3.46549999999996
5.82,-0.0604573874905095,0,0.5357,3.85629999999998
6.25,-0.0604381908776877,0,0.2469,3.70769999999999
34.12,-0.0603705452242501,0,0.1876,3.47309999999999
5.7,-0.0603433384659056,,0.6105,3.91309999999999
18.6,-0.0599445616373096,,0.0704,3.39620000000002
4.05,-0.0599184610610538,0,0.6511,4.52669999999995
16.45,-0.0597493387782236,0,0.2334,3.34399999999999
4.12,-0.0596291725102897,0,0.5815,4.46569999999997
8.35,-0.0595804446875261,0,0.1905,3.47230000000002
12.34,-0.0595651559302337,0,0.2221,3.33230000000003
4.11,-0.0594528414291155,0,0.5815,4.46569999999997
4.13,-0.059303681528973,0,0.5815,4.46569999999997
